AverageHash,ColorHash,DateModified,DateTime,DateTimeOriginal,DateTimeDigitized,Format,ColorSpace,Orientation,FileSize,XSize,YSize,Make,Model,Software,HostComputer,ImageDescription,FileName,SourceDir
80fb901b9c03d2879e1b9e3fd63b9e339c7b80fd40f300e382610401cc81dd8f,0de7ce04f0021c2002001,2021-08-28 08:32:58,2021:08:28 08:32:58,,,MPO,,6,5472256,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00715.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
c000c000c886898f199f389f381f391f399f399f399f1f9f0f9f027f007b003e,33bfce001001080000000,2021-08-28 08:33:06,2021:08:28 08:33:07,,,MPO,,6,4718592,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00716.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
e01bf03ff00ff00ff07eb3f6a6e0ece0ccf8ccd8ced88ed88e408c600c604431,1fd78d05e000000180000,2021-08-28 08:33:18,2021:08:28 08:33:19,,,MPO,,6,4489216,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00717.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
c03ae3f6efae9b8fd9cf9bce1bcc1f5c199909940c9c00370037083f001f000f,1fe79c08e0000000c0000,2021-08-28 08:33:20,2021:08:28 08:33:21,,,MPO,,6,4521984,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00718.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
0000000000000060014005c087f887f0e7f0f7e0fe00ff13fffeffdfff9f3f9f,3dcfdf000000001000000,2021-08-28 08:33:24,2021:08:28 08:33:24,,,MPO,,6,4751360,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00719.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
017b01fb00700070007000600160006000f001be04ff0cff1effff7fffffffff,3bf79c38c001000000001,2021-08-28 08:34:32,2021:08:28 08:34:33,,,MPO,,1,9011200,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00720.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
037b01fb00b000300070006001e001e000f0003e00ff0cff1cffbe3fffffffff,3ff79d3c6001000000001,2021-08-28 08:34:36,2021:08:28 08:34:36,,,MPO,,1,8912896,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00721.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
0000000000100040007000f800c421cc039f8b939bf3dff3ffffffffffff02ff,3fe3b9186000180000000,2021-08-28 08:34:46,2021:08:28 08:34:47,,,MPO,,1,8814592,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00722.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
6b80b2e093f083f1dbf2dbf3dff17fe37fff3ff817311380839000100040c0f0,08e3cf00e0001df000000,2021-08-28 09:03:36,2021:08:28 09:03:37,,,MPO,,1,7798784,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00723.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
c7c1c7c0cae0c8c0e460cce0fcc86e407e40eff08fe08c609bc0dfe0dffedffc,04c74700c0001de000000,2021-08-28 09:03:36,2021:08:28 09:03:37,,,MPO,,1,5472256,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00724.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
087c807c617f67febff21bf816f410b011b00868db2883a807b807b803fc01f8,00738700e0000de007000,2021-08-28 09:03:44,2021:08:28 09:03:44,,,MPO,,6,6455296,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00725.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
003f803f08ef867fbf7ef6fe72fd6cdc64dc428862dc23d230322292079303db,00e7c301c0000ce006000,2021-08-28 09:03:44,2021:08:28 09:03:44,,,MPO,,6,5341184,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00726.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
011f001f063f0f379ff719f2137b1278316c1174104c095803582f488fc807cc,00e3cf00300005d01d000,2021-08-28 09:03:46,2021:08:28 09:03:47,,,MPO,,6,6586368,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00727.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
00040d849fceb4ffe49f70ff31de318c608c300c209830b818985f980f900f90,01f71d00200000f00e000,2021-08-28 09:03:52,2021:08:28 09:03:53,,,MPO,,6,5898240,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00728.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
